ORDINE_CODICE_ATECO_2025,CODICE_ATECO_2025,TITOLO_ITALIANO_ATECO_2025,TITOLO_INGLESE_ATECO_2025,TITOLO_TEDESCO_ATECO_2025,GERARCHIA_ATECO_2025,CODICE_PADRE_ATECO_2025,GERARCHIA_PADRE_ATECO_2025
1694,46.49.21,Commercio all'ingrosso di libri,Wholesale of books,Großhandel mit Büchern,6,46.49.2,5
1695,46.49.22,Commercio all'ingrosso di riviste e giornali,Wholesale of magazines and newspapers,Großhandel mit Zeitschriften und Zeitungen,6,46.49.2,5
1696,46.49.3,"Commercio all'ingrosso di giochi, giocattoli e attrezzature per bambini","Wholesale of games, toys and baby equipment",Großhandel mit Spielwaren und Ausstattungen für Kinder,5,46.49,4
1697,46.49.30,"Commercio all'ingrosso di giochi, giocattoli e attrezzature per bambini","Wholesale of games, toys and baby equipment",Großhandel mit Spielwaren und Ausstattungen für Kinder,6,46.49.3,5
1698,46.49.4,Commercio all'ingrosso di biciclette e altre attrezzature e articoli sportivi,Wholesale of bicycles and other sports goods,Großhandel mit Fahrrädern und anderen Sportausrüstungen und -geräten,5,46.49,4
1699,46.49.41,Commercio all'ingrosso di biciclette,Wholesale of bicycles,Großhandel mit Fahrrädern,6,46.49.4,5
1700,46.49.49,Commercio all'ingrosso di altre attrezzature e articoli sportivi,Wholesale of other sports goods,Großhandel mit anderen Sportausrüstungen und -geräten,6,46.49.4,5
1701,46.49.5,Commercio all'ingrosso di articoli in pelle e articoli da viaggio,Wholesale of leather goods and travel accessories,Großhandel mit Lederwaren und Reiseartikeln,5,46.49,4
1702,46.49.50,Commercio all'ingrosso di articoli in pelle e articoli da viaggio,Wholesale of leather goods and travel accessories,Großhandel mit Lederwaren und Reiseartikeln,6,46.49.5,5
1703,46.49.9,Commercio all'ingrosso di altri beni di consumo n.c.a.,Wholesale of other household goods n.e.c.,Großhandel mit anderen Gebrauchs- und Verbrauchsgütern a. n. g.,5,46.49,4
1704,46.49.91,Commercio all'ingrosso di articoli promozionali,Wholesale in promotional items,Großhandel mit Werbeartikeln,6,46.49.9,5
1705,46.49.92,Commercio all'ingrosso di bomboniere,Wholesale of party favours,Großhandel mit Bonbonnieren,6,46.49.9,5
1706,46.49.99,Commercio all'ingrosso di altri beni di consumo vari n.c.a.,Wholesale of other various household goods n.e.c.,Großhandel mit allen anderen Gebrauchs- und Verbrauchsgütern a. n. g.,6,46.49.9,5
1707,46.5,Commercio all'ingrosso di apparecchiature informatiche e di comunicazione,Wholesale of information and communication equipment,Großhandel mit Geräten der Informations- und Kommunikationstechnik,3,46,2
1708,46.50,Commercio all'ingrosso di apparecchiature informatiche e di comunicazione,Wholesale of information and communication equipment,Großhandel mit Geräten der Informations- und Kommunikationstechnik,4,46.5,3
1709,46.50.1,"Commercio all'ingrosso di computer, unità periferiche e software","Wholesale of computers, computer peripheral equipment and software","Großhandel mit Datenverarbeitungsgeräten, peripheren Geräten und Software",5,46.50,4
1710,46.50.10,"Commercio all'ingrosso di computer, unità periferiche e software","Wholesale of computers, computer peripheral equipment and software","Großhandel mit Datenverarbeitungsgeräten, peripheren Geräten und Software",6,46.50.1,5
1711,46.50.2,Commercio all'ingrosso di apparecchiature per telecomunicazioni,Wholesale of telephone and communication equipment,Großhandel mit Geräten der Telekommunikationstechnik,5,46.50,4
1712,46.50.20,Commercio all'ingrosso di apparecchiature per telecomunicazioni,Wholesale of telephone and communication equipment,Großhandel mit Geräten der Telekommunikationstechnik,6,46.50.2,5
1713,46.50.3,Commercio all'ingrosso di altre macchine e attrezzature per ufficio,Wholesale of other office machinery and equipment,Großhandel mit anderen Büromaschinen und -geräten,5,46.50,4
1714,46.50.30,Commercio all'ingrosso di altre macchine e attrezzature per ufficio,Wholesale of other office machinery and equipment,Großhandel mit anderen Büromaschinen und -geräten,6,46.50.3,5
1715,46.6,"Commercio all'ingrosso di altri macchinari, attrezzature e forniture","Wholesale of other machinery, equipment and supplies","Großhandel mit sonstigen Maschinen, Ausrüstungen und Zubehör",3,46,2
1716,46.61,"Commercio all'ingrosso di macchinari, attrezzature e forniture agricole","Wholesale of agricultural machinery, equipment and supplies",Großhandel mit landwirtschaftlichen Maschinen und Geräten,4,46.6,3
1717,46.61.0,"Commercio all'ingrosso di macchinari, attrezzature e forniture agricole","Wholesale of agricultural machinery, equipment and supplies",Großhandel mit landwirtschaftlichen Maschinen und Geräten,5,46.61,4
1718,46.61.00,"Commercio all'ingrosso di macchinari, attrezzature e forniture agricole","Wholesale of agricultural machinery, equipment and supplies",Großhandel mit landwirtschaftlichen Maschinen und Geräten,6,46.61.0,5
1719,46.62,Commercio all'ingrosso di macchine utensili,Wholesale of machine tools,Großhandel mit Werkzeugmaschinen,4,46.6,3
1720,46.62.0,Commercio all'ingrosso di macchine utensili,Wholesale of machine tools,Großhandel mit Werkzeugmaschinen,5,46.62,4
1721,46.62.00,Commercio all'ingrosso di macchine utensili,Wholesale of machine tools,Großhandel mit Werkzeugmaschinen,6,46.62.0,5
1722,46.63,"Commercio all'ingrosso di macchinari per l'estrazione, l'edilizia e l'ingegneria civile","Wholesale of mining, construction and civil engineering machinery","Großhandel mit Bergwerks-, Bau- und Baustoffmaschinen",4,46.6,3
1723,46.63.0,"Commercio all'ingrosso di macchinari per l'estrazione, l'edilizia e l'ingegneria civile","Wholesale of mining, construction and civil engineering machinery","Großhandel mit Bergwerks-, Bau- und Baustoffmaschinen",5,46.63,4
1724,46.63.00,"Commercio all'ingrosso di macchinari per l'estrazione, l'edilizia e l'ingegneria civile","Wholesale of mining, construction and civil engineering machinery","Großhandel mit Bergwerks-, Bau- und Baustoffmaschinen",6,46.63.0,5
1725,46.64,Commercio all'ingrosso di altri macchinari e attrezzature,Wholesale of other machinery and equipment,Großhandel mit sonstigen Maschinen und Ausrüstungen,4,46.6,3
1726,46.64.1,Commercio all'ingrosso di mezzi di trasporto,Wholesale of transport equipment,Großhandel mit Beförderungsmitteln,5,46.64,4
1727,46.64.11,Commercio all'ingrosso di navi e imbarcazioni,Wholesale of ships and boats,Großhandel mit Schiffen und Booten,6,46.64.1,5
1728,46.64.19,Commercio all'ingrosso di altri mezzi di trasporto,Wholesale of other transport equipment,Großhandel mit anderen Beförderungsmitteln,6,46.64.1,5
1729,46.64.2,Commercio all'ingrosso di materiale elettrico per impianti industriali,Wholesale of electrical equipment for industrial installations,Großhandel mit Elektromaterial für Industrieanlagen,5,46.64,4
1730,46.64.20,Commercio all'ingrosso di materiale elettrico per impianti industriali,Wholesale of electrical equipment for industrial installations,Großhandel mit Elektromaterial für Industrieanlagen,6,46.64.2,5
1731,46.64.3,"Commercio all'ingrosso di attrezzature per parrucchieri, palestre, solarium e centri estetici","Wholesale of equipment for hairdressers, gyms, solariums and beauty centres","Großhandel mit Geräten für Frisörsalons, Turnhallen, Bräunungsstudios und Schönheitszentren",5,46.64,4
1732,46.64.30,"Commercio all'ingrosso di attrezzature per parrucchieri, palestre, solarium e centri estetici","Wholesale of equipment for hairdressers, gyms, solariums and beauty centres","Großhandel mit Geräten für Frisörsalons, Turnhallen, Bräunungsstudios und Schönheitszentren",6,46.64.3,5
1733,46.64.4,"Commercio all'ingrosso di macchine tessili, per la lavorazione delle pelli e del cuoio, per lavanderie e stirerie","Wholesale of textile, leather and laundry machinery","Großhandel mit Textilmaschinen, Maschinen für die Verarbeitung von Fellen und Häuten, für Wäschereien und Büglereien",5,46.64,4
1734,46.64.40,"Commercio all'ingrosso di macchine tessili, per la lavorazione delle pelli e del cuoio, per lavanderie e stirerie","Wholesale of textile, leather and laundry machinery","Großhandel mit Textilmaschinen, Maschinen für die Verarbeitung von Fellen und Häuten, für Wäschereien und Büglereien",6,46.64.4,5
1735,46.64.5,Commercio all'ingrosso di macchinari per l'industria alimentare e delle bevande,Wholesale of machinery for the food and beverages industry,Großhandel mit Maschinen für die Lebensmittel- und Getränkeindustrie,5,46.64,4
1736,46.64.51,Commercio all'ingrosso di macchine e attrezzature per ristoranti e bar,Wholesale of machinery and equipment for restaurants and bars,Großhandel mit Maschinen und Ausrüstungen für Restaurants und Bars,6,46.64.5,5
1737,46.64.59,Commercio all'ingrosso di altri macchinari per l'industria alimentare e delle bevande,Wholesale of other machinery for the food and beverages industry,Großhandel mit anderen Maschinen für die Lebensmittel- und Getränkeindustrie,6,46.64.5,5
1738,46.64.6,Commercio all'ingrosso di macchinari e attrezzature per la pulizia,Wholesale of cleaning machines,Großhandel mit Maschinen und Ausrüstungen für die Reinigung,5,46.64,4
1739,46.64.60,Commercio all'ingrosso di macchinari e attrezzature per la pulizia,Wholesale of cleaning machines,Großhandel mit Maschinen und Ausrüstungen für die Reinigung,6,46.64.6,5
1740,46.64.9,Commercio all'ingrosso di altri macchinari e attrezzature n.c.a.,Wholesale of other machinery and equipment n.e.c.,Großhandel mit anderen Maschinen und Ausrüstungen a. n. g.,5,46.64,4
1741,46.64.91,Commercio all'ingrosso di strumenti e apparecchiature di misurazione,Wholesale of measuring instruments and equipment,Großhandel mit Messinstrumenten und -geräten,6,46.64.9,5
1742,46.64.92,Commercio all'ingrosso di attrazioni per parchi divertimento e parchi tematici e videogiochi,Wholesale of attractions for amusement and theme parks and video game machines,Großhandel mit Attraktionen für Vergnügungsparks und Themenparks und mit Computerspielen,6,46.64.9,5
1743,46.64.99,Commercio all'ingrosso di altri macchinari e attrezzature varie n.c.a.,Wholesale of other various machinery and equipment n.e.c.,Großhandel mit sonstigen Maschinen und Ausrüstungen a. n. g.,6,46.64.9,5
1744,46.7,"Commercio all'ingrosso di autoveicoli, motocicli e relative parti e accessori","Wholesale of motor vehicles, motorcycles and related parts and accessories","Großhandel mit Kraftwagen, Krafträdern, deren Teilen und Zubehör",3,46,2
1745,46.71,Commercio all'ingrosso di autoveicoli,Wholesale of motor vehicles,Großhandel mit Kraftwagen,4,46.7,3
1746,46.71.1,Commercio all'ingrosso di automobili e autoveicoli leggeri,Wholesale of cars and light motor vehicles,"Großhandel mit Kraftwagen mit einem Gesamtgewicht von 3,5 t oder weniger",5,46.71,4
1747,46.71.10,Commercio all'ingrosso di automobili e autoveicoli leggeri,Wholesale of cars and light motor vehicles,"Großhandel mit Kraftwagen mit einem Gesamtgewicht von 3,5 t oder weniger",6,46.71.1,5
1748,46.71.2,Commercio all'ingrosso di altri autoveicoli,Wholesale of other motor vehicles,Großhandel mit anderen Kraftfahrzeugen,5,46.71,4
1749,46.71.20,Commercio all'ingrosso di altri autoveicoli,Wholesale of other motor vehicles,Großhandel mit anderen Kraftfahrzeugen,6,46.71.2,5
1750,46.72,Commercio all'ingrosso di parti e accessori di autoveicoli,Wholesale of motor vehicle parts and accessories,Großhandel mit Kraftwagenteilen und -zubehör,4,46.7,3
1751,46.72.0,Commercio all'ingrosso di parti e accessori di autoveicoli,Wholesale of motor vehicle parts and accessories,Großhandel mit Kraftwagenteilen und -zubehör,5,46.72,4
1752,46.72.00,Commercio all'ingrosso di parti e accessori di autoveicoli,Wholesale of motor vehicle parts and accessories,Großhandel mit Kraftwagenteilen und -zubehör,6,46.72.0,5
1753,46.73,"Commercio all'ingrosso di motocicli, parti e accessori di motocicli","Wholesale of motorcycles, motorcycle parts and accessories","Großhandel mit Krafträdern, Kraftradteilen und -zubehör",4,46.7,3
1754,46.73.1,Commercio all'ingrosso di motocicli,Wholesale of motorcycles,Großhandel mit Krafträdern,5,46.73,4
1755,46.73.10,Commercio all'ingrosso di motocicli,Wholesale of motorcycles,Großhandel mit Krafträdern,6,46.73.1,5
1756,46.73.2,Commercio all'ingrosso di parti e accessori di motocicli,Wholesale of motorcycles parts and accessories,Großhandel mit Teilen und Zubehör für Krafträder,5,46.73,4
1757,46.73.20,Commercio all'ingrosso di parti e accessori di motocicli,Wholesale of motorcycles parts and accessories,Großhandel mit Teilen und Zubehör für Krafträder,6,46.73.2,5
1758,46.8,Commercio all'ingrosso specializzato di altri prodotti,Other specialised wholesale,Sonstiger Großhandel,3,46,2
1759,46.81,"Commercio all'ingrosso di combustibili solidi, liquidi, gassosi e di prodotti derivati","Wholesale of solid, liquid and gaseous fuels and related products",Großhandel mit Brennstoffen und Mineralölerzeugnissen,4,46.8,3
1760,46.81.0,"Commercio all'ingrosso di combustibili solidi, liquidi, gassosi e di prodotti derivati","Wholesale of solid, liquid and gaseous fuels and related products",Großhandel mit Brennstoffen und Mineralölerzeugnissen,5,46.81,4
1761,46.81.00,"Commercio all'ingrosso di combustibili solidi, liquidi, gassosi e di prodotti derivati","Wholesale of solid, liquid and gaseous fuels and related products",Großhandel mit Brennstoffen und Mineralölerzeugnissen,6,46.81.0,5
1762,46.82,Commercio all'ingrosso di metalli e minerali metalliferi,Wholesale of metals and metal ores,"Großhandel mit Erzen, Metallen und Metallhalbzeug",4,46.8,3
1763,46.82.1,Commercio all'ingrosso di metalli e minerali metalliferi ferrosi,Wholesale of ferrous metals and ferrous metal ores,"Großhandel mit Erzen, Eisenmetallen und Metallhalbzeug",5,46.82,4
1764,46.82.10,Commercio all'ingrosso di metalli e minerali metalliferi ferrosi,Wholesale of ferrous metals and ferrous metal ores,"Großhandel mit Erzen, Eisenmetallen und Metallhalbzeug",6,46.82.1,5
1765,46.82.2,Commercio all'ingrosso di metalli e minerali metalliferi non ferrosi,Wholesale of non-ferrous metals and non-ferrous metal ores,Großhandel mit NE-Metallen und -Metallhalbzeug,5,46.82,4
1766,46.82.21,Attività di compro oro,Cash-for-gold wholesale activities,Tätigkeiten für den Goldankauf,6,46.82.2,5
1767,46.82.29,Commercio all'ingrosso di altri metalli e minerali metalliferi non ferrosi,Wholesale of other non-ferrous metals and non-ferrous metal ores,Großhandel mit anderen NE-Metallen und -Metallhalbzeug,6,46.82.2,5
1768,46.83,"Commercio all'ingrosso di legname, materiali da costruzione e articoli igienico-sanitari","Wholesale of wood, construction materials and sanitary equipment","Großhandel mit Holz, Baustoffen, Anstrichmitteln und Sanitärausstattung",4,46.8,3
1769,46.83.1,Commercio all'ingrosso di legname,Wholesale of wood,Großhandel mit Holz,5,46.83,4
1770,46.83.10,Commercio all'ingrosso di legname,Wholesale of wood,Großhandel mit Holz,6,46.83.1,5
1771,46.83.2,Commercio all'ingrosso di materiali da costruzione,Wholesale of construction materials,Großhandel mit Baustoffen,5,46.83,4
1772,46.83.21,"Commercio all'ingrosso di pitture, vernici e lacche","Wholesale of paints, varnishes and lacquers","Großhandel mit Anstrichmitteln, Farben und Lacken",6,46.83.2,5
1773,46.83.22,Commercio all'ingrosso di carta da parati e rivestimenti per pavimenti,Wholesale wallpaper and floor coverings,Großhandel mit Tapeten und Fußbodenbelägen,6,46.83.2,5
1774,46.83.23,"Commercio all'ingrosso di porte, finestre e persiane","Wholesale of doors, windows and shutters","Großhandel mit Türen, Fenstern und Fensterläden",6,46.83.2,5
1775,46.83.29,Commercio all'ingrosso di altri materiali da costruzione,Wholesale of other construction materials,Großhandel mit anderen Baustoffen,6,46.83.2,5
1776,46.83.3,Commercio all'ingrosso di articoli igienico-sanitari,Wholesale of sanitary equipment,Großhandel mit Sanitärausstattungen,5,46.83,4
